City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Terrace,54.5163,-128.6035,42.42,93,75,13.8,CA,2022-01-21 01:32:50
Hobyo,5.3505,48.5268,77.32,70,100,18.7,SO,2022-01-21 01:34:35
Urumqi,43.801,87.6005,20.35,93,100,2.24,CN,2022-01-21 01:34:35
Sobolevo,54.4299,31.8996,21.52,88,92,13.4,RU,2022-01-21 01:34:35
Poya,-21.35,165.15,83.73,75,100,10.78,NC,2022-01-21 01:34:35
Jasper,37.2001,-94.3502,17.67,54,0,1.99,US,2022-01-21 01:35:36
Laela,-8.5667,32.05,57.72,94,98,3.31,TZ,2022-01-21 01:35:36
Yen Bai,21.7,104.8667,60.67,89,100,0.89,VN,2022-01-21 01:35:36
Kununurra,-15.7667,128.7333,89.58,62,100,3.44,AU,2022-01-21 01:32:36
Sola,-13.8833,167.55,83.97,75,98,15.26,VU,2022-01-21 01:35:37
Vostok,46.4856,135.8833,-1.25,93,92,3.0,RU,2022-01-21 01:35:37
Acapulco,16.8634,-99.8901,80.42,74,75,5.75,MX,2022-01-21 01:32:07
Grinnell,41.743,-92.7224,-0.69,84,0,0.0,US,2022-01-21 01:35:38
Kulhudhuffushi,6.6221,73.07,80.37,64,100,3.67,MV,2022-01-21 01:35:38
Sibolga,1.7427,98.7792,80.98,66,100,1.14,ID,2022-01-21 01:35:38
Makakilo City,21.3469,-158.0858,80.92,65,0,8.05,US,2022-01-21 01:35:39
Omidiyeh,30.7597,49.705,37.15,39,0,16.62,IR,2022-01-21 01:35:39
Santa Ines,-3.6667,-45.38,73.18,95,99,2.59,BR,2022-01-21 01:35:39
Dir,35.2058,71.8756,34.12,61,45,7.11,PK,2022-01-21 01:35:40
Bubaque,11.2833,-15.8333,78.44,70,67,9.15,GW,2022-01-21 01:31:28
Mahebourg,-20.4081,57.7,80.89,89,75,14.97,MU,2022-01-21 01:35:40
Nanning,22.8167,108.3167,55.85,66,100,7.09,CN,2022-01-21 01:33:57
Toora-Khem,52.4675,96.11,11.61,97,100,2.3,RU,2022-01-21 01:35:41
Faanui,-16.4833,-151.75,81.59,74,100,18.79,PF,2022-01-21 01:35:41
Hofn,64.2539,-15.2082,42.94,87,100,15.28,IS,2022-01-21 01:35:41
Walvis Bay,-22.9575,14.5053,69.1,88,100,3.44,NA,2022-01-21 01:35:41
Paamiut,61.994,-49.6678,19.06,87,100,8.32,GL,2022-01-21 01:35:42
Salym,60.0625,71.4789,12.36,94,100,8.14,RU,2022-01-21 01:35:42
Tura,25.5198,90.2201,55.81,83,19,3.13,IN,2022-01-21 01:35:42
Pesceana,44.8833,24.15,35.55,78,96,7.56,RO,2022-01-21 01:35:44
Puerto Maldonado,-12.6,-69.1833,73.17,99,99,3.6,PE,2022-01-21 01:35:44
Sao Joao Da Barra,-21.6403,-41.0511,75.76,87,0,7.96,BR,2022-01-21 01:35:45
Oktyabrskoye,43.0645,44.7417,17.74,93,99,2.24,RU,2022-01-21 01:35:45
Naron,43.5167,-8.1528,51.6,70,22,15.95,ES,2022-01-21 01:35:45
Januaria,-15.4833,-44.3667,69.82,90,5,1.83,BR,2022-01-21 01:35:46
Pangnirtung,66.1451,-65.7125,-29.97,99,98,3.62,CA,2022-01-21 01:35:46
Haflong,25.1833,93.0333,54.07,90,84,2.08,IN,2022-01-21 01:35:46
Gedo,9.0167,37.45,49.33,67,86,3.53,ET,2022-01-21 01:35:47
Tigil,57.8,158.6667,9.25,85,5,3.91,RU,2022-01-21 01:35:47
Mandalgovi,45.7625,106.2708,8.02,80,9,7.36,MN,2022-01-21 01:35:47
Firozpur,30.9167,74.6,50.22,92,2,1.97,IN,2022-01-21 01:35:48
Kodinsk,58.6881,99.1844,2.35,100,96,2.26,RU,2022-01-21 01:35:48
Linqiong,30.4159,103.4609,48.02,88,100,5.14,CN,2022-01-21 01:35:48
Homer,59.6425,-151.5483,36.03,74,100,10.36,US,2022-01-21 01:35:49
Okha,53.5739,142.9478,-0.56,86,94,15.86,RU,2022-01-21 01:35:49
Praya,14.9215,-23.5087,72.14,78,75,9.22,CV,2022-01-21 01:35:49
Klaksvik,62.2266,-6.589,45.52,85,100,24.87,FO,2022-01-21 01:35:49
Tucuman,-26.8241,-65.2226,69.8,94,95,4.61,AR,2022-01-21 01:35:50
Goleta,36.8181,10.305,46.72,81,20,6.91,TN,2022-01-21 01:35:50
Corralillo,22.9819,-80.5856,72.9,88,0,7.31,CU,2022-01-21 01:35:50
Vila Velha,-20.3297,-40.2925,80.55,78,75,1.01,BR,2022-01-21 01:35:51
Beidao,34.5686,105.8933,37.78,88,100,2.53,CN,2022-01-21 01:36:51
Daru,-9.0763,143.2092,85.35,67,100,2.77,PG,2022-01-21 01:36:51
Tripoli,32.8752,13.1875,53.85,54,90,8.23,LY,2022-01-21 01:36:52
Tagusao,9.1924,117.8141,82.38,71,36,5.64,PH,2022-01-21 01:36:52
Wadena,46.4425,-95.1361,-7.82,76,0,3.44,US,2022-01-21 01:36:52
Pimenta Bueno,-11.6725,-61.1936,73.94,96,100,2.66,BR,2022-01-21 01:36:53
Comodoro Rivadavia,-45.8667,-67.5,60.66,94,40,2.3,AR,2022-01-21 01:33:54
Honiara,-9.4333,159.95,81.0,84,100,3.78,SB,2022-01-21 01:36:53
Taoudenni,22.6783,-3.9836,60.69,21,1,8.68,ML,2022-01-21 01:36:53
Araouane,18.9048,-3.5265,60.6,22,12,9.48,ML,2022-01-21 01:36:54
San Juan Del Sur,11.2529,-85.8705,80.33,72,6,21.61,NI,2022-01-21 01:36:54
Berdigestyakh,62.0989,126.6992,-6.16,98,99,4.47,RU,2022-01-21 01:36:54
Kruisfontein,-34.0033,24.7314,69.89,95,45,7.81,ZA,2022-01-21 01:36:55
Esperance,-33.8667,121.9,73.24,54,0,11.07,AU,2022-01-21 01:36:55
Westerland,54.9079,8.3033,39.22,65,100,25.32,DE,2022-01-21 01:36:56
Schrems,48.7833,15.0667,26.1,80,93,5.99,AT,2022-01-21 01:36:56
Majene,-3.5403,118.9707,76.32,91,100,4.59,ID,2022-01-21 01:36:18
Myaundzha,63.0494,147.1858,-28.25,86,7,3.0,RU,2022-01-21 01:36:56
Staunton,38.1496,-79.0717,27.64,52,0,1.99,US,2022-01-21 01:34:49
Nishihara,26.1842,127.7558,63.68,52,40,9.22,JP,2022-01-21 01:36:57
Noumea,-22.2763,166.4572,80.58,99,100,14.94,NC,2022-01-21 01:32:23
Manzanillo,20.3433,-77.1167,77.09,75,88,2.51,CU,2022-01-21 01:36:57
Bauchi,10.5,10.0,53.98,32,100,4.45,NG,2022-01-21 01:36:57
Ukiah,39.1502,-123.2078,58.64,91,6,3.02,US,2022-01-21 01:34:51
Energetik,51.7445,58.7934,-10.23,100,70,2.91,RU,2022-01-21 01:36:58
Kez,57.8979,53.7152,17.33,91,100,9.71,RU,2022-01-21 01:36:58
Olavarria,-36.8927,-60.3225,74.01,89,100,13.51,AR,2022-01-21 01:36:58
Ouadda,8.0777,22.4007,65.3,23,55,7.38,CF,2022-01-21 01:36:59
Mogadishu,2.0371,45.3438,76.71,81,82,17.74,SO,2022-01-21 01:33:31
Muzhi,65.3667,64.6667,14.81,89,100,15.7,RU,2022-01-21 01:36:59
Stephenville,32.2207,-98.2023,31.68,34,0,4.61,US,2022-01-21 01:36:59
Makat,47.6469,53.3463,22.28,96,97,5.5,KZ,2022-01-21 01:37:00
Port Macquarie,-31.4333,152.9167,75.16,63,94,13.44,AU,2022-01-21 01:37:00
Jingdezhen,29.2947,117.2079,49.87,75,100,4.99,CN,2022-01-21 01:37:00
Mopipi,-21.1833,24.8833,72.84,46,84,12.64,BW,2022-01-21 01:37:01
Oga,46.4631,10.347,21.74,96,82,8.41,IT,2022-01-21 01:37:01
Bardiyah,31.7561,25.0865,50.14,59,4,12.73,LY,2022-01-21 01:37:01
Turukhansk,65.8167,87.9833,7.5,94,100,15.43,RU,2022-01-21 01:37:02
Plettenberg Bay,-34.0527,23.3716,66.51,90,32,2.48,ZA,2022-01-21 01:37:02
Katsuura,35.1333,140.3,42.91,41,84,22.24,JP,2022-01-21 01:37:02
Polyarnyy,69.1989,33.4478,25.27,88,99,14.2,RU,2022-01-21 01:37:02
Tekeli,44.83,78.8239,16.86,65,12,10.89,KZ,2022-01-21 01:37:03
Oussouye,12.485,-16.5469,73.58,81,68,6.17,SN,2022-01-21 01:37:03
Geraldton,-28.7667,114.6,102.61,8,0,18.41,AU,2022-01-21 01:37:03
Bambous Virieux,-20.3428,57.7575,80.85,89,75,14.97,MU,2022-01-21 01:37:04
Huilong,31.8111,121.655,49.03,66,100,11.5,CN,2022-01-21 01:37:04
Freeport,40.6576,-73.5832,29.25,53,0,8.01,US,2022-01-21 01:35:18
Cayenne,4.9333,-52.3333,79.09,87,75,5.01,GF,2022-01-21 01:37:04
Shubarshi,48.5872,57.1869,4.98,88,89,5.14,KZ,2022-01-21 01:37:05
Batemans Bay,-35.7167,150.1833,72.99,55,64,7.16,AU,2022-01-21 01:38:05
Bucerias,20.75,-105.3333,76.98,78,100,3.44,MX,2022-01-21 01:37:40
Novo Aripuana,-5.1206,-60.3797,74.52,96,100,1.88,BR,2022-01-21 01:38:06
Jaora,23.6333,75.1333,58.44,68,0,2.21,IN,2022-01-21 01:38:06
Ambilobe,-13.2,49.05,73.11,97,97,2.15,MG,2022-01-21 01:38:06
Chama,47.1821,8.4636,35.82,100,75,1.14,CH,2022-01-21 01:38:07
Yerbogachen,61.2767,108.0108,8.1,96,100,6.24,RU,2022-01-21 01:38:07
Cabo San Lucas,22.8909,-109.9124,73.51,65,75,6.91,MX,2022-01-21 01:37:09
Bundaberg,-24.85,152.35,78.22,76,75,5.01,AU,2022-01-21 01:38:07
Esmeraldas,-19.7625,-44.3139,76.24,88,0,2.71,BR,2022-01-21 01:38:08
Tarko-Sale,64.9225,77.785,10.31,93,17,15.59,RU,2022-01-21 01:38:08
Moundou,8.5667,16.0833,67.12,24,100,5.19,TD,2022-01-21 01:38:08
Iskateley,67.6803,53.1512,20.93,93,100,14.63,RU,2022-01-21 01:38:09
Constantine,36.365,6.6147,35.01,93,0,1.14,DZ,2022-01-21 01:38:09
San Policarpo,12.1791,125.5072,79.95,82,96,12.57,PH,2022-01-21 01:38:09
Vilyuysk,63.7553,121.6247,-5.93,100,100,3.76,RU,2022-01-21 01:38:10
Vila Do Maio,15.1333,-23.2167,72.39,80,100,13.06,CV,2022-01-21 01:38:10
Kahului,20.8947,-156.47,82.42,72,40,6.91,US,2022-01-21 01:38:10
Poum,-20.2333,164.0167,81.77,76,100,7.07,NC,2022-01-21 01:38:11
Fallon,39.4735,-118.7774,49.87,43,40,5.75,US,2022-01-21 01:36:01
Inuvik,68.3499,-133.7218,-17.39,76,20,4.61,CA,2022-01-21 01:38:11
Muskegon,43.3,-86.1334,18.21,57,100,4.61,US,2022-01-21 01:38:11
Tinskoy,56.1525,96.9161,-1.46,99,97,2.53,RU,2022-01-21 01:38:12
Leshukonskoye,64.8989,45.7622,28.49,96,100,9.69,RU,2022-01-21 01:38:12
Havoysund,70.9963,24.6622,29.28,66,100,23.51,NO,2022-01-21 01:38:12
Mandapam,9.2833,79.1167,77.72,68,93,6.55,IN,2022-01-21 01:38:13
Alcains,39.9164,-7.4566,41.85,82,0,4.81,PT,2022-01-21 01:38:13
The Valley,18.217,-63.0578,78.66,71,0,23.73,AI,2022-01-21 01:38:13
Farmington,36.7281,-108.2187,38.7,39,0,6.91,US,2022-01-21 01:33:57
Hunchun,42.8675,130.3581,12.43,51,10,4.99,CN,2022-01-21 01:38:14
Vangaindrano,-23.35,47.6,71.65,91,90,7.05,MG,2022-01-21 01:38:14
Buchanan,5.8808,-10.0467,77.7,82,100,1.97,LR,2022-01-21 01:38:14
Vanimo,-2.6741,141.3028,81.88,84,36,4.97,PG,2022-01-21 01:38:15
Saint-Joseph,-21.3667,55.6167,77.36,81,32,6.31,RE,2022-01-21 01:38:15
Tazovskiy,67.4667,78.7,11.82,88,99,17.56,RU,2022-01-21 01:38:15
Morant Bay,17.8815,-76.4093,80.22,82,14,10.94,JM,2022-01-21 01:38:16
Iberia,29.9502,-91.7507,38.05,75,100,17.27,US,2022-01-21 01:38:16
Zambezi,-13.5432,23.1047,62.69,95,100,3.02,ZM,2022-01-21 01:38:16
Norcasia,5.5778,-74.8852,72.99,86,78,3.29,CO,2022-01-21 01:38:16
Zabol,32.25,67.25,32.23,60,9,8.63,AF,2022-01-21 01:38:17
Bianzhuang,34.8486,118.0447,32.54,45,100,8.9,CN,2022-01-21 01:38:17
Vilhena,-12.7406,-60.1458,68.58,98,100,3.78,BR,2022-01-21 01:38:18
Vao,-22.6667,167.4833,76.44,89,100,16.84,NC,2022-01-21 01:38:18
Rio Gallegos,-51.6226,-69.2181,60.85,63,20,29.93,AR,2022-01-21 01:38:18
Yanam,16.7333,82.2167,70.2,92,33,2.46,IN,2022-01-21 01:38:19
Khorinsk,52.1657,109.7726,-0.44,96,87,0.47,RU,2022-01-21 01:39:19
Bima,-8.4667,118.7167,82.98,72,100,3.11,ID,2022-01-21 01:39:19
Boa Vista,2.8197,-60.6733,84.18,58,0,10.36,BR,2022-01-21 01:39:19
Brigantine,39.4101,-74.3646,32.02,63,20,12.66,US,2022-01-21 01:39:20
Kapchorwa,1.3965,34.4509,58.41,62,93,4.03,UG,2022-01-21 01:39:20
Emerald,-23.5333,148.1667,84.34,54,100,16.11,AU,2022-01-21 01:37:26
Toamasina,-18.1667,49.3833,71.6,100,75,14.97,MG,2022-01-21 01:39:21
Slave Lake,55.2834,-114.769,37.38,87,100,29.93,CA,2022-01-21 01:39:21
Severo-Kurilsk,50.6789,156.125,31.42,80,100,26.28,RU,2022-01-21 01:39:21
Taltal,-25.4,-70.4833,69.28,73,34,5.14,CL,2022-01-21 01:39:21
Ituporanga,-27.4144,-49.6025,71.62,93,50,2.42,BR,2022-01-21 01:39:22
Salekhard,66.53,66.6019,14.54,93,100,15.79,RU,2022-01-21 01:39:22
Athabasca,54.7169,-113.2854,35.29,86,93,19.1,CA,2022-01-21 01:39:22
Saint-Georges,12.0564,-61.7485,76.68,78,20,5.75,GD,2022-01-21 01:39:23
Tsumeb,-19.2333,17.7167,65.75,81,100,4.99,NA,2022-01-21 01:39:23
Vila,42.0304,-8.1588,34.68,89,2,4.41,PT,2022-01-21 01:39:23
Angoram,-4.0625,144.0661,89.98,59,61,3.71,PG,2022-01-21 01:39:24
Port Blair,11.6667,92.75,73.44,94,40,2.3,IN,2022-01-21 01:39:24
Portland,45.5234,-122.6762,51.85,81,75,1.99,US,2022-01-21 01:37:00
Oliveira Dos Brejinhos,-12.3169,-42.8961,70.93,76,94,2.8,BR,2022-01-21 01:39:24
Udachnyy,66.4167,112.4,-17.55,99,46,5.91,RU,2022-01-21 01:39:25
Lauria,40.0465,15.8358,41.16,90,91,8.03,IT,2022-01-21 01:39:25
Velingara,13.15,-14.1167,73.87,21,21,2.28,SN,2022-01-21 01:39:25
Kailua,21.4022,-157.7394,82.38,66,75,5.75,US,2022-01-21 01:39:26
Statesboro,32.4488,-81.7832,56.73,94,100,0.0,US,2022-01-21 01:39:26
Kyra,49.5776,111.9753,7.2,93,100,1.03,RU,2022-01-21 01:37:34
Byron Bay,-28.65,153.6167,79.05,60,73,19.08,AU,2022-01-21 01:38:08
Pundaguitan,6.3711,126.1689,80.62,75,73,9.75,PH,2022-01-21 01:39:26
Banna,17.98,120.655,81.19,55,47,3.44,PH,2022-01-21 01:39:27
Aksarka,66.5606,67.7975,12.88,91,100,19.75,RU,2022-01-21 01:39:27
Ballina,-28.8667,153.5667,76.96,66,40,16.11,AU,2022-01-21 01:35:04
Nalut,30.3333,10.85,45.48,51,0,6.67,LY,2022-01-21 01:39:27
Plymouth,41.8334,-70.8328,31.78,63,0,1.01,US,2022-01-21 01:39:28
Namatanai,-3.6667,152.4333,83.34,73,100,9.89,PG,2022-01-21 01:39:28
Calvinia,-31.4707,19.776,74.62,19,10,3.71,ZA,2022-01-21 01:39:28
Sangar,63.9242,127.4739,-23.26,97,100,7.85,RU,2022-01-21 01:39:29
Wajima,37.4,136.9,30.88,69,75,6.91,JP,2022-01-21 01:39:29
Aberdeen,57.1437,-2.0981,42.49,82,100,6.91,GB,2022-01-21 01:39:29
Flinders,-34.5833,150.8552,73.8,66,83,11.03,AU,2022-01-21 01:39:30
Terebovlya,49.3019,25.71,29.23,87,100,20.38,UA,2022-01-21 01:39:30
Carutapera,-1.195,-46.02,76.95,87,15,6.22,BR,2022-01-21 01:39:30
Hambantota,6.1241,81.1185,68.34,100,82,2.3,LK,2022-01-21 01:39:31
Polewali,-3.4324,119.3435,75.24,96,100,4.18,ID,2022-01-21 01:39:31
Dalbandin,28.8947,64.4101,56.25,66,0,3.85,PK,2022-01-21 01:39:31
San Jose,37.3394,-121.895,62.98,65,40,5.75,US,2022-01-21 01:38:25
Clyde River,70.4692,-68.5914,-1.97,84,96,4.61,CA,2022-01-21 01:35:25
Olot,42.181,2.4901,43.11,77,0,3.15,ES,2022-01-21 01:39:32
Moose Factory,51.2585,-80.6094,-11.2,77,0,12.66,CA,2022-01-21 01:39:32
Pisco,-13.7,-76.2167,68.02,92,67,6.29,PE,2022-01-21 01:40:32
Gold Coast,-28.0,153.4333,83.34,71,75,3.0,AU,2022-01-21 01:38:17
Quelimane,-17.8786,36.8883,70.05,89,4,4.72,MZ,2022-01-21 01:40:33
Udaipur,24.5712,73.6918,50.9,66,0,2.98,IN,2022-01-21 01:36:41
Lebyazhye,55.2689,66.4947,3.09,96,100,3.89,RU,2022-01-21 01:40:33
Rivers,50.0308,-100.2403,-6.65,95,100,6.85,CA,2022-01-21 01:40:34
Mattru,7.6244,-11.8332,72.01,96,98,1.72,SL,2022-01-21 01:37:29
Camana,-16.6228,-72.7111,72.19,87,97,7.96,PE,2022-01-21 01:37:31
Saryozek,44.3583,77.9753,22.6,87,4,3.87,KZ,2022-01-21 01:40:34
Bam,29.106,58.357,49.71,41,0,9.04,IR,2022-01-21 01:40:34
Dakar,14.6937,-17.4441,72.48,74,91,10.92,SN,2022-01-21 01:40:35
Fort Nelson,58.8053,-122.7002,-0.81,71,75,12.66,CA,2022-01-21 01:40:35
Valdivia,-39.8142,-73.2459,51.35,97,26,2.13,CL,2022-01-21 01:40:35
Aksu,41.1231,80.2644,24.22,48,7,4.41,CN,2022-01-21 01:40:36
Richards Bay,-28.783,32.0377,68.43,92,8,5.82,ZA,2022-01-21 01:40:36
Fukue,32.6881,128.8419,46.76,57,75,9.22,JP,2022-01-21 01:40:36
Sinegorye,62.0788,150.477,-12.96,63,1,2.91,RU,2022-01-21 01:40:36
Jiangkou,25.4872,119.1986,49.89,74,96,14.79,CN,2022-01-21 01:40:37
Souillac,-20.5167,57.5167,80.98,89,75,14.97,MU,2022-01-21 01:40:37
Mount Gambier,-37.8333,140.7667,84.11,26,2,21.85,AU,2022-01-21 01:40:37
Turan,16.0678,108.2208,69.78,94,75,2.3,VN,2022-01-21 01:40:38
Bannu,32.9854,70.6027,51.66,72,62,2.77,PK,2022-01-21 01:40:38
Muli,2.9167,73.5667,81.0,69,80,9.64,MV,2022-01-21 01:40:39
Orizona,-17.0314,-48.2958,66.07,70,0,3.04,BR,2022-01-21 01:40:39
Chumikan,54.7183,135.315,-5.89,84,9,20.27,RU,2022-01-21 01:40:39
Omsukchan,62.5333,155.8,-10.03,62,0,2.53,RU,2022-01-21 01:40:40
Sambava,-14.2667,50.1667,75.33,90,100,3.65,MG,2022-01-21 01:40:40
Waipawa,-41.4122,175.5153,66.31,50,22,11.83,NZ,2022-01-21 01:40:40
Rocha,-34.4833,-54.3333,74.66,94,95,11.39,UY,2022-01-21 01:40:40
Birao,10.2849,22.7882,64.02,20,6,9.22,CF,2022-01-21 01:40:41
Thessalon,46.2501,-83.5666,7.56,97,10,2.77,CA,2022-01-21 01:40:41
Zaraza,9.3503,-65.3245,75.67,72,26,9.24,VE,2022-01-21 01:40:41
Stornoway,58.2093,-6.3865,42.93,97,100,3.0,GB,2022-01-21 01:40:42
Srednekolymsk,67.45,153.6833,-39.17,99,54,6.26,RU,2022-01-21 01:38:43
Alamos,27.0167,-108.9333,65.71,38,0,2.06,MX,2022-01-21 01:40:42
Progreso,21.2833,-89.6667,77.11,81,7,14.03,MX,2022-01-21 01:40:42
Susangerd,31.5608,48.1831,39.22,42,0,14.56,IR,2022-01-21 01:40:43
Rupert,42.6191,-113.6772,33.28,86,100,5.75,US,2022-01-21 01:40:43
Iwaki,37.05,140.8833,39.06,64,73,7.0,JP,2022-01-21 01:40:44
Mangrol,21.1167,70.1167,70.66,87,5,8.55,IN,2022-01-21 01:40:44
Vladimirescu,46.15,21.4,32.77,86,0,6.91,RO,2022-01-21 01:40:44
Tatui,-23.3556,-47.8569,70.75,84,7,5.32,BR,2022-01-21 01:40:45
Ormond Beach,29.2858,-81.0559,68.14,69,40,1.01,US,2022-01-21 01:40:45
Urusha,54.05,122.9,-7.62,77,4,1.36,RU,2022-01-21 01:40:45
Ozernovskiy,51.5,156.5167,32.07,73,100,8.57,RU,2022-01-21 01:40:45
Liverpool,53.4106,-2.9779,38.82,87,100,1.01,GB,2022-01-21 01:36:25
Qandala,11.472,49.8728,73.63,77,35,2.06,SO,2022-01-21 01:40:46
Mazagao,-0.115,-51.2894,82.45,98,42,3.85,BR,2022-01-21 01:40:46
Raeren,50.6677,6.1168,33.24,93,98,5.32,BE,2022-01-21 01:41:46
Arrecife,28.963,-13.5477,66.27,63,100,8.05,ES,2022-01-21 01:41:47
Plast,54.3691,60.8136,-8.95,100,75,4.81,RU,2022-01-21 01:41:48
Pahrump,36.2083,-115.9839,57.25,32,5,1.01,US,2022-01-21 01:41:49
Senneterre,48.3835,-77.2328,-18.18,99,41,3.33,CA,2022-01-21 01:41:49
Balaka,-14.9793,34.9558,62.44,92,10,4.36,MW,2022-01-21 01:41:49
Westport,41.1415,-73.3579,28.74,56,0,4.0,US,2022-01-21 01:38:25
Alexandria,31.2156,29.9553,48.74,76,40,2.3,EG,2022-01-21 01:38:57
Tuatapere,-46.1333,167.6833,58.82,67,47,11.32,NZ,2022-01-21 01:41:50
Hit,33.6416,42.8251,36.37,36,0,9.6,IQ,2022-01-21 01:41:50
Dunedin,-45.8742,170.5036,64.8,56,99,18.01,NZ,2022-01-21 01:41:50
Staraya Toropa,56.2801,31.6702,25.18,90,99,10.31,RU,2022-01-21 01:41:51
Coihueco,-36.6167,-71.8333,63.34,34,0,8.05,CL,2022-01-21 01:41:51
Correntina,-13.3433,-44.6367,69.66,82,4,2.08,BR,2022-01-21 01:41:51
Shadrinsk,56.0852,63.6335,-4.68,95,12,6.2,RU,2022-01-21 01:41:52
Iralaya,15.0,-83.2333,77.25,85,10,9.37,HN,2022-01-21 01:41:52
Arnissa,40.8,21.8333,34.59,54,10,6.6,GR,2022-01-21 01:41:52
Bandarbeyla,9.4942,50.8122,75.16,76,57,17.56,SO,2022-01-21 01:41:53
Lincoln,40.8,-96.667,12.29,54,0,1.99,US,2022-01-21 01:38:19
Kirove,47.6531,35.6951,32.83,91,100,13.71,UA,2022-01-21 01:41:53
Dicabisagan,17.0818,122.4157,73.76,93,100,6.11,PH,2022-01-21 01:41:53
Belmonte,-15.8631,-38.8828,77.5,78,0,4.88,BR,2022-01-21 01:41:54
Kathu,7.9178,98.3332,78.62,73,8,12.39,TH,2022-01-21 01:41:54
Hualmay,-11.0964,-77.6139,70.97,87,96,10.07,PE,2022-01-21 01:41:54
Mangai,-4.05,19.5333,71.65,92,100,1.05,CD,2022-01-21 01:41:55
Hay River,60.8156,-115.7999,-7.62,77,100,27.63,CA,2022-01-21 01:41:55
Bodden Town,19.2833,-81.25,78.8,87,20,1.01,KY,2022-01-21 01:41:08
Nong Bua,15.8646,100.5858,79.9,68,100,7.43,TH,2022-01-21 01:41:55
Salmas,38.1973,44.7653,9.59,70,0,6.58,IR,2022-01-21 01:41:56
Funtua,11.5233,7.3081,53.62,25,33,12.37,NG,2022-01-21 01:41:56
Alekseyevsk,57.8406,108.3492,1.06,96,97,3.62,RU,2022-01-21 01:41:56
Mayo,38.8876,-76.5119,33.17,59,0,8.99,US,2022-01-21 01:41:56
Hoa Binh,20.8133,105.3383,60.69,86,100,2.21,VN,2022-01-21 01:41:57
Tombouctou,20.0,-3.0,59.2,21,0,10.63,ML,2022-01-21 01:41:57
Motala,58.5371,15.0365,29.98,52,2,21.09,SE,2022-01-21 01:41:57
Mossendjo,-2.9506,12.7261,68.16,99,100,1.1,CG,2022-01-21 01:41:58
Along,28.1667,94.7667,54.48,56,92,0.69,IN,2022-01-21 01:41:58
Sterling,39.0062,-77.4286,31.86,57,40,1.01,US,2022-01-21 01:41:58
Ippy,6.2679,21.2247,72.88,26,95,7.52,CF,2022-01-21 01:41:59
Waingapu,-9.6567,120.2641,82.27,73,100,11.77,ID,2022-01-21 01:41:59
Goma,-1.6792,29.2228,61.92,91,100,2.1,CD,2022-01-21 01:41:59
Khani,41.9563,42.9566,24.37,91,100,4.07,GE,2022-01-21 01:42:00
Magdalena,14.1999,121.429,81.72,69,48,8.77,PH,2022-01-21 01:42:00
Sao Felix Do Xingu,-6.6447,-51.995,70.99,97,64,1.72,BR,2022-01-21 01:42:00
Saposoa,-6.934,-76.7716,70.41,98,29,3.27,PE,2022-01-21 01:42:01
Southbridge,42.0751,-72.0334,26.98,50,100,1.99,US,2022-01-21 01:41:59
Matamoros,25.5333,-103.25,60.91,39,100,5.75,MX,2022-01-21 01:40:00
Yining,29.0361,114.5636,48.51,85,100,2.26,CN,2022-01-21 01:43:01
Baruun-Urt,46.6806,113.2792,1.74,74,100,9.19,MN,2022-01-21 01:43:01
Sanmenxia,34.7747,111.1814,27.77,82,100,11.97,CN,2022-01-21 01:43:02
Ponta Do Sol,32.6667,-17.1,65.03,81,88,15.43,PT,2022-01-21 01:43:02
Cravo Norte,6.3017,-70.2041,81.95,44,96,6.55,CO,2022-01-21 01:43:02
Haines Junction,60.7522,-137.5108,4.95,78,100,1.14,CA,2022-01-21 01:43:03
Ponta Delgada,37.7333,-25.6667,61.52,77,20,13.8,PT,2022-01-21 01:43:03
Birjand,32.8663,59.2211,32.47,74,0,4.61,IR,2022-01-21 01:43:03
Karratha,-20.7377,116.8463,94.32,41,0,7.56,AU,2022-01-21 01:43:04
Kangavar,34.5043,47.9653,18.88,92,20,1.66,IR,2022-01-21 01:43:04
Akyab,20.15,92.9,64.06,74,0,5.7,MM,2022-01-21 01:43:04
Pangoa,-12.1167,-73.0,68.49,95,93,1.97,PE,2022-01-21 01:43:05
Rabo De Peixe,37.8,-25.5833,60.31,98,20,13.8,PT,2022-01-21 01:43:05
Hinton,53.4001,-117.5857,32.04,73,100,9.48,CA,2022-01-21 01:43:05
Morehead,37.2711,-87.1764,24.55,65,100,5.01,US,2022-01-21 01:43:06
Komsomolskiy,40.4272,71.7189,33.22,80,0,6.91,UZ,2022-01-21 01:43:06
Corinto,37.9407,22.9573,51.46,77,0,6.15,GR,2022-01-21 01:38:45
Nuuk,64.1835,-51.7216,16.88,78,100,11.99,GL,2022-01-21 01:40:44
Great Bend,38.3645,-98.7648,20.03,42,100,4.61,US,2022-01-21 01:39:03
Chacabuco,-34.6417,-60.4739,74.8,95,100,6.96,AR,2022-01-21 01:43:07
Jona,47.2298,8.8388,35.89,96,94,3.53,CH,2022-01-21 01:43:07
Aquin,18.2833,-73.4,75.79,78,0,3.98,HT,2022-01-21 01:43:07
Gat,31.61,34.7642,47.39,100,16,6.15,IL,2022-01-21 01:43:08
Auki,-8.7676,160.7034,76.37,94,100,4.88,SB,2022-01-21 01:43:08
Sri Aman,1.2376,111.4621,77.09,94,40,2.3,MY,2022-01-21 01:43:08
